user_id,fold
122913,train
224376,train
189810,train
180092,train
195300,train
222327,train
140012,train
225017,train
205445,train
204865,train
222071,train
120629,train
200445,train
184100,train
205474,train
206774,train
172396,train
199615,train
208646,train
223833,train
183080,train
149076,train
183017,train
172806,train
209473,train
199574,train
178608,train
181353,train
180590,train
187407,train
181692,train
140018,train
202199,train
203529,train
181168,train
185131,train
186551,train
206043,train
130565,train
200296,train
202813,train
224353,train
217824,train
205062,train
189774,train
180021,train
202267,train
194333,train
182749,train
220447,train
184538,train
201981,train
200418,train
188788,train
180843,train
137896,train
200119,train
217716,train
211124,train
182111,train
96828,train
214702,train
182913,train
184134,train
178839,train
196540,train
192652,train
168952,train
124317,train
223144,train
197113,train
185387,train
227075,train
203381,train
200618,train
150036,train
208701,train
178576,train
202810,train
180362,train
174046,train
211269,train
203215,train
200558,train
193492,train
170782,train
222264,train
217959,train
197950,train
188419,train
196742,train
173146,train
179722,train
180081,train
212570,train
138516,train
74601,train
174073,train
194170,train
189815,train
191620,train
200603,train
221791,train
133600,train
224323,train
125537,train
194216,train
213212,train
199964,train
192796,train
129985,train
195528,train
192632,train
181544,train
180556,train
199182,train
225064,train
96442,train
122096,train
172900,train
179627,train
186647,train
131792,train
180795,train
227684,train
198782,train
176290,train
193088,train
120339,train
226593,train
208600,train
181478,train
218893,train
200131,train
166961,train
195158,train
183709,train
207919,train
194088,train
223921,train
137424,train
212353,train
124233,train
220217,train
117863,train
120026,train
219158,train
181648,train
194699,train
227430,train
215242,train
179931,train
194649,train
191088,train
183344,train
224066,train
137305,train
133377,train
126021,train
181425,train
193400,train
193943,train
202981,train
226158,train
227254,train
222363,train
181549,train
224074,train
175285,train
188515,train
183069,train
226982,train
182118,train
221261,train
180534,train
169230,train
175999,train
130976,train
120461,train
176713,train
206620,train
194967,train
172652,train
189008,train
174709,train
193743,train
189751,train
224680,train
220043,train
125488,train
197336,train
170216,train
197352,train
180672,train
212596,train
187252,train
175225,train
191711,train
197117,train
192190,train
133271,train
176238,train
168605,train
203695,train
172464,train
184684,train
202975,train
191077,train
171357,train
179990,train
201674,train
200904,train
96447,train
174412,train
213626,train
203154,train
205592,train
197355,train
180582,train
188025,train
206634,train
171547,train
205467,train
174096,train
209643,train
220145,train
179915,train
211768,train
145463,train
174469,train
196835,train
208108,train
179740,train
184752,train
128496,train
175171,train
207880,train
223606,train
183746,train
109129,train
172650,train
181054,train
181334,train
192125,train
197106,train
179194,train
184073,train
186824,train
224495,train
92804,train
186450,train
182739,train
209411,train
179015,train
222705,train
183363,train
223610,train
224981,train
221951,train
204070,train
189115,train
146464,train
178597,train
145391,train
191616,train
171861,train
182639,train
172963,train
180925,train
175442,train
178955,train
220149,train
205008,train
200468,train
198620,train
187259,train
176509,train
184014,train
198010,train
195542,train
218993,train
186030,train
174089,train
198384,train
107559,train
177633,train
187714,train
184875,train
222508,train
175577,train
194166,train
184274,train
181535,train
127147,train
203218,train
221762,train
209179,train
181104,train
221049,train
190793,train
185486,train
182380,train
175602,train
176627,train
200459,train
198327,train
173022,train
221578,train
221246,train
188058,train
169149,train
184709,train
195390,train
175291,train
209706,train
191361,train
227240,train
186256,train
212308,train
205870,train
169757,train
96412,train
137944,train
222486,train
171328,train
210611,train
179556,train
223049,train
219761,train
205454,train
96445,train
183075,train
196995,train
183737,train
172599,train
173072,train
219458,train
178332,train
168866,train
177316,train
118440,train
130779,train
185354,train
183626,train
208709,train
183579,train
196698,train
203413,train
222752,train
184590,train
170984,train
199385,train
214620,train
190123,train
205771,train
196240,train
215964,train
212751,train
224670,train
168483,train
191087,train
221090,train
194601,train
194694,train
181577,train
188716,train
174974,train
184067,train
191929,train
221747,train
118720,train
194736,train
219778,train
188828,train
175147,train
227210,train
222494,train
175013,train
209686,train
124847,train
173443,train
214304,train
174081,train
186506,train
190241,train
181640,train
209400,train
187092,train
188005,train
190207,train
208485,train
214450,train
176897,train
187148,train
